Commodity,LIVE CATTLE,LEAN HOGS,COFFEE 'C',CORN,COTTON NO.2,SOYBEAN,SUGAR #11,WHEAT FUTURE,BRENT CRUDE,COPPER FUTURE,GASOLINE RBOB,GOLD 100 OZ,NATURAL GAS,SILVER,PLATINUM,WTI CRUDE,LME NICKEL,LME COPPER,LME ALUMINIUM,LME LEAD,LME ZINC,COCOA,HEATING OIL
GOLD 100 OZ,0.04519774108206434,0.018322717891140473,0.08237216282323188,0.1285343896946594,0.09209050585191725,0.15731275436378947,0.11483551057343572,0.1230410580217688,0.1659744872516771,0.27182555969514777,0.1509460079187883,1.0,0.046623141662035544,0.7094806091183811,0.569037145463113,,0.15044372793435634,0.2356258768334901,0.19264106625882924,0.17199210199743553,0.20942568417036223,0.11756374430196374,0.15179845257786329
NATURAL GAS,0.04230614457716836,0.02029339106121412,0.03675795638985113,0.08689824274415277,0.04707855803439872,0.08866725495704601,0.038135226282380495,0.06163578424580641,0.18548473854595296,0.052607648485342995,0.15332614158658434,0.046623141662035544,1.0,0.04653167397323637,0.04842862991858265,,0.033029831365340316,0.04965667928965054,0.06075929092380272,0.04293635625251904,0.040563283805373614,0.01678864428688129,0.2438701754989474
SILVER,0.07552238023941255,0.052175023683636156,0.11886219489468926,0.16724225930037256,0.1321446157675354,0.2081315258253569,0.12655159913543906,0.15436992699119104,0.1828161807637121,0.3554915921564679,0.20516523304671974,0.7094806091183811,0.04653167397323637,1.0,0.6067903401561284,,0.19610566050267236,0.3095523307516691,0.25118880385793113,0.22256812537648976,0.28186833402407085,0.1304502596083445,0.15695202748869203
PLATINUM,0.076701454525085,0.042861945724903816,0.12206167662677916,0.12597623322011287,0.1243236428659372,0.15230170307071328,0.11831474045595358,0.10825826989907371,0.17528340559593153,0.3172954886965648,0.23707638959546765,0.569037145463113,0.04842862991858265,0.6067903401561284,1.0,,0.18417762981913516,0.28139235100161164,0.2291809441157321,0.199229258366667,0.25353677197447333,0.10810538582181478,0.15246888006810352
WTI CRUDE,,,,,,,,,,,,,,,,,,,,,,,
LME NICKEL,0.05602316837639869,0.04797310253633592,0.08688216325561045,0.10321731123384248,0.1197284813968399,0.13302689188792186,0.08002181408833554,0.1137636358284354,0.1670828023935943,0.42898763915029486,0.21030302245951285,0.15044372793435634,0.033029831365340316,0.19610566050267236,0.18417762981913516,,1.0,0.42970739729038515,0.3677463702714526,0.36169847070498007,0.4662169060588435,0.06322111703156738,0.123366914323695
LME COPPER,0.08255093724764326,0.06356485532361049,0.11385144391867051,0.13641726505104496,0.17201509950230623,0.17580843274521585,0.12938809733464174,0.1267839849055869,0.2150814359392398,0.7999895515920797,0.3045363553257784,0.2356258768334901,0.04965667928965054,0.3095523307516691,0.28139235100161164,,0.42970739729038515,1.0,0.574712946142959,0.5175082514330356,0.6329802708738979,0.09999825593587787,0.16781054649517138
LME ALUMINIUM,0.06863787890829035,0.06356919976205185,0.09519945543074677,0.12084914524681084,0.13683020263905532,0.15270380304877626,0.11935630387443323,0.11351156673595389,0.19382948367665345,0.5143789574664913,0.25622009619677005,0.19264106625882924,0.06075929092380272,0.25118880385793113,0.2291809441157321,,0.3677463702714526,0.574712946142959,1.0,0.430343975129023,0.5517983621066309,0.0971914215905252,0.15738761052913153
LME LEAD,0.04112259551628203,0.056757522353133166,0.08670711195701891,0.0962809013085695,0.11652905226281582,0.12721252078308803,0.11008672885589556,0.08692404267470613,0.1471327108893286,0.44217023679808637,0.20274196617144913,0.17199210199743553,0.04293635625251904,0.22256812537648976,0.199229258366667,,0.36169847070498007,0.5175082514330356,0.430343975129023,1.0,0.5870915397995693,0.10248227253100824,0.1311131970242662
LME ZINC,0.06597372884710552,0.061186295422384,0.11404089044227014,0.12910373109023468,0.14901414085096554,0.16352172459943853,0.1231010929672486,0.12274126305451216,0.1766441172759017,0.5429721165734783,0.22713964580874743,0.20942568417036223,0.040563283805373614,0.28186833402407085,0.25353677197447333,,0.4662169060588435,0.6329802708738979,0.5517983621066309,0.5870915397995693,1.0,0.10877164287082827,0.15462890273969565
COCOA,0.044184456001867635,0.029399997667140073,0.13991404915979494,0.07443000614770927,0.0787607166170368,0.09866608780553712,0.10752499876281121,0.07123978408949538,0.08057653859827882,0.0989533722079011,0.12064082052423565,0.11756374430196374,0.01678864428688129,0.1304502596083445,0.10810538582181478,,0.06322111703156738,0.09999825593587787,0.0971914215905252,0.10248227253100824,0.10877164287082827,1.0,0.06530068166178599
HEATING OIL,0.06318116707125741,0.04939001429481148,0.06816720178010363,0.14703454358432858,0.12372797912968063,0.16424759806598874,0.11024899469735569,0.12336843735512383,0.8092505598366542,0.18384222107001016,0.7605594216041893,0.15179845257786329,0.2438701754989474,0.15695202748869203,0.15246888006810352,,0.123366914323695,0.16781054649517138,0.15738761052913153,0.1311131970242662,0.15462890273969565,0.06530068166178599,1.0
